FID,Flood_Binary,DEM_cut_rs,Soil_types,River_dens,Distance_t,Land_use_2,Curve_Stud,Aspect_Stu,Slope_Stud,POINT_X,POINT_Y
0,1,236,2,0.88211,304.0969849,10,0.018469101,265.3370056,2.617919922,-97.25771392,49.44786348
1,0,237,2,0,1524.030029,15,0.0690303,12.13879967,0.668612003,-97.24033906,49.44760036
2,0,237,2,0,18112.5,15,0,-1,0,-97.55975164,49.45175024
3,0,233,2,0,5625.52002,15,0.0208166,62.99649811,2.039710045,-97.34874728,49.44865966
4,0,236,1,0,15359,15,0,-1,0,-97.51508002,49.45064549
5,0,237,1,0,12739.40039,15,0,22.5053997,0.054760199,-97.47204903,49.45008489
6,1,231,2,0.749381006,200.6889954,15,0.0182888,117.2929993,1.544319987,-97.26644901,49.44664545
7,0,239,2,0.079771303,975.2310181,15,0,-1,0,-97.24783347,49.44636484
8,0,236,1,0,15112,15,0,-1,0,-97.5117944,49.44979367
9,0,236,2,0,17143.19922,15,0,-1,0,-97.54573096,49.44995559
10,0,234,1,0,11268.7002,15,0.082538798,99.0401001,2.872649908,-97.45015432,49.44871405
11,0,238,2,0,7282.200195,15,-0.038783699,38.21549988,0.328354001,-97.38147571,49.4477731
12,0,239,2,0,6187.620117,15,-0.0420065,27.13540077,0.231441006,-97.36204021,49.44722955
13,0,238,2,0,4894.02002,15,0,-1,0,-97.18622732,49.4446052
14,0,237,2,0,4022.550049,15,0.090089202,172.1369934,1.67385006,-97.19864667,49.44452949
15,0,237,2,0,6313.470215,15,-0.030470001,191.7489929,1.132699966,-97.36537678,49.44646717
16,0,233,2,0,5264.359863,15,-0.00744444,275.0440063,3.227400064,-97.34551927,49.44618473
17,0,238,1,0,10878.59961,15,-0.081212498,80.10350037,0.806138992,-97.44566292,49.44676472
18,0,235,2,0,10068.7998,15,0,-1,0,-97.43283767,49.44659161
19,0,237,2,0,5865.959961,15,-0.152046993,180,1.488899946,-97.3583709,49.44555832
20,1,229,1,0.796998978,15,18,-0.018570701,60.93840027,0.552709997,-97.26405265,49.4441807
21,0,237,2,0,3491.199951,17,0.0405779,286.2099915,1.570639968,-97.20572795,49.44329027
22,0,239,2,0,1347.25,15,0,-1,0,-97.2843316,49.44421352
23,1,236,2,0,2389.620117,15,0,-1,0,-97.29923298,49.44416382
24,0,239,2,0,1395.160034,15,0,-1,0,-97.28516834,49.44395607
25,0,236,2,0,10138,15,0,-1,0,-97.4349406,49.44554064
26,1,236,2,0,2261.52002,15,0.078677602,86.09860229,0.425700009,-97.29759699,49.44360001
27,1,228,1,0.783973992,7.5,18,-0.00849176,153.1210022,1.123070002,-97.2636771,49.44309559
28,0,237,2,0,17914.80078,15,0,-1,0,-97.56155678,49.44664536
29,0,237,2,0,7065.160156,15,0.086753398,89.06500244,0.653163016,-97.38367734,49.44375594
30,0,234,2,0,5006.379883,17,0.164480001,227.9299927,5.510350227,-97.34520546,49.44321173
31,1,232,2,0.726270974,200.6889954,15,-0.075322203,97.54650116,1.743280053,-97.2674475,49.44180282
32,0,238,2,0,2131.209961,15,0,-1,0,-97.22442958,49.44115018
33,0,235,1,0,12589.7998,15,0,-1,0,-97.47431038,49.44390792
34,0,237,2,0,9189.150391,15,0,-1,0,-97.42177131,49.44320273
35,0,238,2,0,2697.120117,15,-0.0236602,-0.912446022,0.130358994,-97.30718558,49.44158187
36,0,235,1,0,12412.40039,15,0,-1,0,-97.47183656,49.44360539
37,0,239,2,0.00262059,1007.909973,15,0,-1,0,-97.28072182,49.44092151
38,0,238,2,0,6974.899902,15,0.044314601,58.07920074,0.907272995,-97.15583036,49.43845708
39,0,237,2,0,16895.09961,15,0,-1,0,-97.54756936,49.4437719
40,0,235,1,0,12128.7998,15,0,-1,0,-97.46813849,49.44274687
41,0,236,2,0,15872.2002,16,0,-1,0,-97.53144266,49.44329834
42,0,235,1,0,12735.2002,15,0,-1,0,-97.47848914,49.44261367
43,0,237,2,0,9137.780273,15,0,-1,0,-97.42222828,49.44185965
44,0,237,2,0,6283.459961,11,0.0588472,192.3000031,1.059200048,-97.37259726,49.44090187
45,0,235,1,0,12905.59961,17,0,-1,0,-97.48222903,49.4421231
46,1,229,1,0.775816977,15,18,-0.00128516,125.75,1.144400001,-97.26464722,49.43906215
47,0,240,2,0.700443983,355.9140015,15,0,-1,0,-97.2563749,49.43893769
48,0,237,2,0,16955.5,15,0,-1,0,-97.54966977,49.44271882
49,0,239,2,0,1702.02002,15,-0.017676299,209.3040009,0.987959981,-97.29112842,49.43918672
50,0,239,2,0,5407.720215,15,-0.0231693,173.7089996,0.704957008,-97.17738713,49.43744959
51,0,232,1,0,10404.5,15,0.095032804,108.1230011,2.69362998,-97.44294632,49.44106105
52,0,238,2,0,4595.660156,15,0,-1,0,-97.18857384,49.43708567
53,0,235,2,0,11522.2002,15,0,-1,0,-97.46033753,49.44075421
54,0,237,2,0,1684.47998,15,0.048980501,107.5690002,0.34047401,-97.2291155,49.4374439
55,0,239,2,0,5621.680176,15,-0.046506099,0.054532699,0.241310999,-97.36274141,49.43860381
56,0,238,2,0,4954.700195,15,0,-1,0,-97.35158237,49.43817539
57,0,239,2,0,7675.709961,15,0,-1,0,-97.40164997,49.43833864
58,0,239,2,0,4528.189941,15,0.093784697,152.7890015,0.742524981,-97.34499157,49.43727164
59,1,230,1,0.807592988,207.8970032,15,-0.0203746,19.86560059,0.314754009,-97.26557912,49.4361076
60,0,239,2,0,5898.240234,15,0.0257743,10.78719997,0.172377005,-97.17045658,49.43464143
61,0,231,1,0,10084.2998,14,0.217345998,179.0970001,2.609479904,-97.4401362,49.43832454
62,0,235,2,0.699404001,561.8499756,15,0.040080398,101.4209976,1.007940054,-97.2713884,49.43565487
63,0,236,2,0,14445.2002,15,0,-1,0,-97.51254284,49.43873897
64,0,239,2,0,6885.419922,15,-0.033542801,63.0707016,0.736876011,-97.15684964,49.43334582
65,0,236,2,0,15288,14,0,-1,0,-97.5266237,49.43837953
66,0,237,2,0,3267.76001,15,0.00952011,38.00419998,0.656266987,-97.32272071,49.43506164
67,0,237,2,0,6309.189941,15,-0.00867119,77.24720001,1.079489946,-97.38104805,49.43562322
68,0,235,2,0,11349.5,15,0,-1,0,-97.46129994,49.43644922
69,0,241,2,0,3990.870117,15,0.037779901,170.1119995,1.377990007,-97.3384557,49.43474911
70,1,233,2,0,5025.580078,10,0.066575401,192.4329987,2.248470068,-97.18253958,49.43240319
71,0,232,2,0,3627.48999,15,0.193765998,150.1999969,1.700369954,-97.33184731,49.43438408
